file_name,rg_value
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-03-1-PDw-flash_2019.nii.gz,101
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-04-1-PDw-flash_2019.nii.gz,50.8
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-05-1-PDw-flash_2019.nii.gz,64
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-06-1-PDw-flash_2019.nii.gz,71.8
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-07-1-PDw-flash_2019.nii.gz,80.6
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-08-1-PDw-flash_2019.nii.gz,90.5
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-09-1-PDw-flash_2019.nii.gz,101
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-10-1-PDw-flash_2019.nii.gz,50.8
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-11-1-PDw-flash_2019.nii.gz,64
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-12-1-PDw-flash_2019.nii.gz,71.8
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-13-1-PDw-flash_2019.nii.gz,80.6
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-14-1-PDw-flash_2019.nii.gz,90.5
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-15-1-PDw-flash_2019.nii.gz,101
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-16-1-PDw-flash_2019.nii.gz,50.8
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-17-1-PDw-flash_2019.nii.gz,64
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-18-1-PDw-flash_2019.nii.gz,71.8
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-19-1-PDw-flash_2019.nii.gz,80.6
/data/scratch/cedric/scans/scan_batch2/20220311_MCH_MTR_RG_003_1-20-1-PDw-flash_2019.nii.gz,90.5
